,city,H3_L12,pid,lat,lng,year,month, road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
68,Singapore,8c6526acb0cd1ff,DETliwd-5z1zQnBGRfC4mA,1.341346881782758,103.8918376868276,2021,3,0.000000,0.000592,0.053550,0.001598,0.019349,0.004201,0.002012,0.003728,0.211479,0.005325,0.477160,0.000533,0.000118,0.000533,0.002426,0.002604,0.000059,0.000000,0.000000
69,Singapore,8c6520d9d5363ff,dg5iNe8FBJsY1S-iP49XNQ,1.31467219106774,103.7905711846456,2021,7,0.000592,0.000296,0.048639,0.001183,0.002189,0.004675,0.002367,0.002189,0.289290,0.003018,0.430473,0.000118,0.000000,0.000000,0.000000,0.000000,0.000059,0.000000,0.000178
70,Singapore,8c6526ac1312bff,dBvtuBifCfClfUNg8nWOJg,1.311628836455299,103.9448751797025,2021,6,0.002485,0.000178,0.000118,0.000000,0.000000,0.001657,0.000414,0.000296,0.483432,0.002840,0.254556,0.000237,0.000296,0.000947,0.037811,0.000000,0.000000,0.000000,0.000000
71,Singapore,8c6526aca19c7ff,DGAs-XA_twpYPM2fSF0vBw,1.34701118279843,103.9213660451696,2021,8,0.000000,0.000178,0.078107,0.001598,0.000710,0.001302,0.001598,0.001834,0.416982,0.045444,0.236982,0.000178,0.000000,0.000296,0.000000,0.000059,0.000000,0.000000,0.000000
72,Singapore,8c6520c91b4e1ff,DgYNuu0uZqR726qn15pIzw,1.42772751712322,103.7073708671004,2021,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000355,0.000237,0.000059,0.402308,0.002189,0.380118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73,Singapore,8c652636ea91bff,dhIbzbYBzXn2nMiIAMaQXA,1.385908300482105,103.8431309491169,2021,4,0.000059,0.000473,0.098639,0.003432,0.003787,0.002189,0.001716,0.001716,0.047160,0.002071,0.616746,0.000178,0.000355,0.001716,0.004379,0.000000,0.000592,0.000059,0.000000
74,Singapore,8c6520cb1016bff,DDnUKRMDRf961MoEQP0gmw,1.383267317618913,103.740968167677,2021,3,0.000000,0.000473,0.271598,0.001953,0.005680,0.003373,0.001124,0.002308,0.113077,0.002840,0.382544,0.000178,0.000000,0.000000,0.000059,0.000000,0.000000,0.000059,0.000000
75,Singapore,8c6526ad81b35ff,dedjZ2kwgL1FqfB6ye5vgg,1.374915796417929,103.9521058153133,2021,4,0.000000,0.000178,0.026450,0.001420,0.004201,0.006331,0.002840,0.002189,0.224852,0.004320,0.512012,0.000237,0.000000,0.000118,0.000000,0.000059,0.000059,0.000000,0.000000
76,Singapore,8c652636644a3ff,DjtfLeUmHmFUUCG4JCV_Lw,1.391379906279544,103.909446602803,2021,6,0.002189,0.000710,0.128284,0.002130,0.001361,0.002544,0.001361,0.003432,0.401479,0.002189,0.239586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77,Singapore,8c6520cb0d0c5ff,dhAJBUrv9VSJlfsTLVuTOQ,1.384972178411011,103.7729535443066,2021,3,0.000000,0.000296,0.036746,0.001065,0.001243,0.001479,0.001124,0.002071,0.325917,0.001716,0.413609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
